circuit_id,family,cloud_shots,hardware_shots,finite_shots,counts_axis_valid,shots_conserved,cloud_vs_ideal_tv,cloud_vs_ideal_hellinger,cloud_vs_ideal_h2,cloud_vs_local_noise_tv,cloud_vs_local_noise_hellinger,cloud_vs_local_noise_h2,cloud_vs_finite_tv,cloud_vs_finite_hellinger,cloud_vs_finite_h2,cloud_vs_hardware_tv,cloud_vs_hardware_hellinger,cloud_vs_hardware_h2,hardware_vs_ideal_tv,hardware_vs_ideal_hellinger,hardware_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_hellinger,hardware_vs_local_noise_h2,finite_vs_ideal_tv,finite_vs_ideal_hellinger,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_hellinger,local_noise_vs_ideal_h2,cloud_noise_minus_ideal_tv,cloud_excess_over_finite_tv,hardware_cloud_minus_ideal_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3,cloud_feasible_k3,cloud_minus_ideal_feasible_k3,cloud_minus_local_noise_feasible_k3,cloud_minus_finite_feasible_k3,cloud_minus_hardware_feasible_k3
tianyan-287__qaoa_0317,qaoa,1024,1024,1024,True,True,0.8408203125,0.7752591231935617,0.6010267080948501,0.10446315381601862,0.10331378454101957,0.010673738076188214,0.8408203125,0.7752591233177358,0.6010267082873842,0.34375,0.28475304243058464,0.08108429517347433,0.9384765625,0.8671567415071015,0.7519608143412141,0.361762420574256,0.29051792994388187,0.08440066761887824,7.15167884995257e-19,8.456759929164697e-10,7.15167884995257e-19,0.8264478380481145,0.7638089277508388,0.583404078111886,-0.7363571586839814,0.8408203125,-0.5947265625,0.31640625,1.0,1.0,0.38272130782835606,0.365234375,-0.634765625,-0.01748693282835606,-0.634765625,0.048828125
tianyan-287__qaoa_0318,qaoa,1024,1024,1024,True,True,0.826171875,0.7635921664496349,0.5830729966632469,0.06770663840712968,0.0855614256797825,0.0073207575643569455,0.826171875,0.7635921673223555,0.5830729979960521,0.3857421875,0.3284210032442772,0.10786035537197755,0.943359375,0.8729301743420916,0.7620070892769144,0.3872402307652041,0.31014418062083055,0.09618941277296636,1.9017735179441605e-17,4.36093283363108e-09,1.9017735179441605e-17,0.8264478380481146,0.7638089271567143,0.583404077204291,-0.7584652365928704,0.826171875,-0.5576171875,0.287109375,1.0,1.0,0.3827213078283559,0.4013671875,-0.5986328125,0.018645879671644106,-0.5986328125,0.1142578125
tianyan-287__qaoa_0319,qaoa,1024,1024,1024,True,True,0.83984375,0.7744706151919836,0.5998047337958495,0.09121593922746361,0.11361977025589123,0.012909452193001507,0.83984375,0.7744706160729709,0.599804735160447,0.3720703125,0.3279726764232107,0.10756607648020407,0.9404296875,0.8694421752497357,0.755929696102992,0.36343472084323447,0.29302112913392697,0.08586138211892151,2.89510866596043e-17,5.38062140087967e-09,2.89510866596043e-17,0.8264478380481145,0.7638089269843734,0.5834040769410199,-0.7486278107725364,0.83984375,-0.568359375,0.3203125,1.0,1.0,0.38272130782835606,0.3642578125,-0.6357421875,-0.01846349532835606,-0.6357421875,0.0439453125
tianyan-287__qaoa_0320,qaoa,1024,1024,1024,True,True,0.9404292786129875,0.8693806970930288,0.7558227964779607,0.10916265442337197,0.09784730708898831,0.009574095504566782,0.9404296875,0.8694421761266916,0.7559296976279171,0.2451171875,0.2229908019480962,0.049724897753455066,0.9833980286129875,0.9333057669370574,0.8710596545979689,0.24213473530246601,0.20605183872621227,0.04245736024245299,4.088870124401086e-07,0.00045215431779791827,2.044435271033009e-07,0.9409400439639188,0.8699714968675001,0.7568504053618788,-0.8312666241896156,0.9404288697259751,-0.7382808411129875,0.287109375,1.0,0.9999999999999999,0.323216850248173,0.3271484375,-0.6728515624999999,0.003931587251827018,-0.6728515625,0.0400390625
tianyan-287__qaoa_0321,qaoa,1024,1024,1024,True,True,0.9384759672243566,0.8670682784334868,0.7518073994656106,0.07328063053837637,0.07260470715216852,0.005271443500652151,0.9384765625,0.8671567416492214,0.7519608145876946,0.2041015625,0.18681837607261265,0.03490110563840813,0.9824212797243566,0.9312821953111262,0.8672865273035106,0.19553481062248934,0.1725415332317359,0.029770580689958227,5.952756435088403e-07,0.0005455619726714465,2.976378660251601e-07,0.9409398662558189,0.8699578237845729,0.7568266151639899,-0.8651953366859801,0.938475371948713,-0.7783197172243566,0.2724609375,1.0,0.9999999999999999,0.32321685075811285,0.3291015625,-0.6708984374999999,0.00588471174188715,-0.6708984375,0.056640625
tianyan-287__qaoa_0322,qaoa,1024,1024,1024,True,True,0.942382633065731,0.8717142019583652,0.7598856498959097,0.08541661345135002,0.07559298561659689,0.005714299474431023,0.9423828125,0.871759253107821,0.759964195379106,0.2236328125,0.19352222320006274,0.0374508508722949,0.9765623205657311,0.9202363320267963,0.8468349067821321,0.20771858655820208,0.17694031077926686,0.03130787357866354,1.794342690247505e-07,0.00029952819324729303,8.971713854998772e-08,0.940940265402195,0.8699967131818492,0.7568942809472208,-0.856966019614381,0.942382453631462,-0.7529295080657311,0.291015625,1.0,1.0,0.32321685066890654,0.3046875,-0.6953125,-0.01852935066890654,-0.6953125,0.013671875
tianyan-287__qaoa_0323,qaoa,1024,1024,1024,True,True,0.9326169568931261,0.860429510412495,0.7403389423886859,0.09278101077270381,0.09023725813226192,0.00814276275522847,0.9326171875,0.8604754524585871,0.7404180042838102,0.22265625,0.20656678207081788,0.04266983545509277,0.9765622693931261,0.9202330614905856,0.8468288874603358,0.21306367685322292,0.18051912688942187,0.03258715517291919,2.3060687388181298e-07,0.00033956360753808676,1.153034435642798e-07,0.9409402142147706,0.8699899650204308,0.7568825392362504,-0.8398359461204222,0.9326167262862521,-0.7539060193931261,0.3017578125,1.0,0.9999999999999999,0.32321685027672314,0.33984375,-0.6601562499999999,0.016626899723276856,-0.66015625,0.0380859375
tianyan-287__qaoa_0324,qaoa,1024,1024,1024,True,True,0.9267578099314292,0.8540235508654306,0.7293562254327988,0.08945129305970197,0.08547302126541013,0.0073056373642372534,0.9267578125,0.8540298948616277,0.7293670613173628,0.2353515625,0.2115768661132175,0.044764770274290364,0.9843749974314292,0.9354096717905486,0.8749912540793019,0.21552717452501013,0.18953304662273363,0.035922775762095314,2.56857084708601e-09,3.583692854670207e-05,1.28428544766143e-09,0.9409404345269357,0.8700391580329726,0.7569681365107238,-0.8373065168717272,0.9267578073628584,-0.7490234349314292,0.287109375,1.0,1.0,0.32321684959713315,0.3515625,-0.6484375,0.02834565040286685,-0.6484375,0.064453125
tianyan-287__qaoa_0325,qaoa,1024,1024,1024,True,True,0.7801700961787513,0.7550483249763132,0.5700979730495364,0.11101184363216468,0.09975583957454251,0.00995122752922186,0.7734375,0.7524201671864073,0.566136107988821,0.1884765625,0.16687876302975072,0.027848521550339695,0.800698820888331,0.7696182955718762,0.5923123208789598,0.12411728084661311,0.10921318906558365,0.011927520665874922,0.03303752042388094,0.040811707527862055,0.0016655954713397521,0.7911499643012609,0.7562015991637966,0.5718408585778834,-0.6691582525465867,0.7471325757548704,-0.612222258388331,0.30078125,1.0,0.9999999999999999,0.3157577127193864,0.3076171875,-0.6923828124999999,-0.008140525219386407,-0.6923828125,0.0068359375
tianyan-287__qaoa_0326,qaoa,1024,1024,1024,True,True,0.797838200822846,0.7523634232365484,0.5660507206242176,0.09377522716714798,0.08749613827523484,0.007655574213079015,0.7900390625,0.7499520169969626,0.5624280277978124,0.14453125,0.13484339375369514,0.01818274083901407,0.8158869985399244,0.76751094864451,0.5890730562891956,0.09426934695798857,0.0864214280497665,0.007468663226160969,0.03670911933010108,0.04399722910503895,0.0019357561689212865,0.800242709003322,0.7544743096359809,0.5692314839006901,-0.704062973655698,0.7611290814927448,-0.6713557485399244,0.328125,1.0,0.9999999999999999,0.3157211211688964,0.314453125,-0.6855468749999999,-0.0012679961688963903,-0.685546875,-0.013671875
tianyan-287__qaoa_0327,qaoa,1024,1024,1024,True,True,0.8642607019515922,0.8345528234378701,0.6964784151081207,0.08962048433300963,0.08227844234965119,0.006769742075484874,0.8779296875,0.8441293434894105,0.7125543485398631,0.1279296875,0.11678081939499313,0.013637759778566004,0.875808343897944,0.8514707723116768,0.7250024761010433,0.10722541970904947,0.09938701715198431,0.009877779178368823,0.016206613307708246,0.04319433640015005,0.0018657506970493276,0.8607720678757271,0.8367921391458928,0.7002210841363592,-0.7746402176185826,0.848054088643884,-0.747878656397944,0.31640625,1.0,0.9999999999999998,0.31592821305061775,0.330078125,-0.6699218749999998,0.014149911949382254,-0.669921875,0.013671875
tianyan-287__qaoa_0328,qaoa,1024,1024,1024,True,True,0.945612027174971,0.886731695970345,0.7862931006384444,0.10386084732892199,0.0947491951305999,0.008977409977896495,0.94921875,0.8929622249871851,0.7973815352540643,0.21484375,0.1824472768682831,0.03328700883665195,0.9592839021749708,0.9142994533850679,0.835943490460234,0.17069904520949142,0.1442394493723763,0.020805018755246305,0.0049205534959058115,0.02966652019505571,0.0008801024204836483,0.9422583938708864,0.8833598507391368,0.78032462589787,-0.841751179846049,0.9406914736790651,-0.7444401521749708,0.3427734375,1.0,1.0,0.31466139773355,0.3310546875,-0.6689453125,0.016393289766449992,-0.6689453125,-0.01171875
tianyan-287__qaoa_0329,qaoa,1024,1024,1024,True,True,0.9694448123040149,0.9074289616306772,0.8234273204061291,0.0886895825680826,0.08265346371046214,0.0068315950633366825,0.9697265625,0.9088494724989181,0.8260073636615618,0.177734375,0.15617662092921136,0.024391136924866576,0.982140124804015,0.9296614625945595,0.8642704350334556,0.14347769134188582,0.12468883755222303,0.015547306210124663,0.00028175019598493926,0.011869499664569013,0.00014088502228720392,0.9690682275032381,0.9066437753282175,0.8220029353414033,-0.8807552297359323,0.9691630621080299,-0.804405749804015,0.3193359375,1.0,1.0,0.31460904126070993,0.314453125,-0.685546875,-0.0001559162607099318,-0.685546875,-0.0048828125
tianyan-287__qaoa_0330,qaoa,1024,1024,1024,True,True,0.8330078125,0.7689949431700782,0.5913532226211519,0.0746455695888423,0.08692791277701742,0.007556462019768749,0.8330078125,0.7689949440946032,0.5913532240430619,0.3896484375,0.32521213248713987,0.10576293111683302,0.96484375,0.9013878179743913,0.8124999983926344,0.39045606870479094,0.3237820919421656,0.10483484306244498,1.575325379743637e-17,3.969036885371106e-09,1.575325379743637e-17,0.8300565299750948,0.7666537642642562,0.5877579942605538,-0.7583622429111577,0.8330078125,-0.5751953125,0.33203125,1.0,1.0,0.38724187368217333,0.392578125,-0.607421875,0.005336251317826668,-0.607421875,0.060546875
tianyan-287__qaoa_0331,qaoa,1024,1024,1024,True,True,0.8193359375,0.7582572426772238,0.5749540460724663,0.07691542147002628,0.09422897530597561,0.008879099787214162,0.8193359375,0.7582572430264134,0.5749540466020173,0.3720703125,0.31233805798832326,0.09755506246791719,0.9296875,0.8572251492524898,0.7348349565109535,0.36254778962088735,0.28392341162540535,0.08061250366900938,3.821159985645247e-18,1.9547787561883435e-09,3.821159985645248e-18,0.8264478380481146,0.7638089275633859,0.5834040778255297,-0.7424205160299737,0.8193359375,-0.5576171875,0.3212890625,1.0,1.0,0.3827213078283559,0.3984375,-0.6015625,0.015716192171644106,-0.6015625,0.0771484375
tianyan-287__qaoa_0332,qaoa,1024,1024,1024,True,True,0.83984375,0.7744706157877386,0.599804734718639,0.0782436974017334,0.07965942580341721,0.006345624119330133,0.83984375,0.7744706160729709,0.599804735160447,0.34375,0.2793849613095564,0.07805595660594233,0.9501953125,0.881379805268673,0.7768303611354439,0.35432802482984715,0.28744280282403084,0.08262336489533467,2.860668135869828e-18,1.6913509795042032e-09,2.8606681358698277e-18,0.8264478380481145,0.7638089276079084,0.5834040778935431,-0.7616000525982666,0.83984375,-0.6064453125,0.296875,1.0,1.0,0.3827213078283561,0.35546875,-0.64453125,-0.027252557828356117,-0.64453125,0.05859375
tianyan-287__qaoa_0333,qaoa,1024,1024,1024,True,True,0.841796875,0.7760492474814046,0.6022524345164544,0.08576785903596554,0.097173924608062,0.009442771623733318,0.841796875,0.7760492481682892,0.602252435582567,0.3818359375,0.31791430079811217,0.10106950265195255,0.9296875,0.8572251487816309,0.7348349557036893,0.3850754478276068,0.30277173524953827,0.0916707236660165,1.9017735095574954e-17,4.360932824015403e-09,1.9017735095574954e-17,0.8264478380481143,0.7638089271567141,0.5834040772042907,-0.7560290159640345,0.841796875,-0.5478515625,0.353515625,1.0,1.0,0.3827213078283561,0.373046875,-0.626953125,-0.009674432828356117,-0.626953125,0.01953125
tianyan-287__qaoa_0334,qaoa,1024,1024,1024,True,True,0.833984375,0.7697725953346983,0.5925498485283172,0.08699703200961195,0.10300486131597468,0.010610001454723177,0.833984375,0.76977259607941,0.5925498496748345,0.3720703125,0.31667267187538983,0.10028158111269833,0.943359375,0.8729301741393047,0.7620070889228769,0.36085617624462235,0.2933108816257569,0.0860312732800788,2.895108639620444e-17,5.380621376402955e-09,2.895108639620444e-17,0.8264478380481145,0.7638089269843735,0.58340407694102,-0.746987342990388,0.833984375,-0.5712890625,0.3193359375,1.0,1.0,0.38272130782835606,0.37109375,-0.62890625,-0.011627557828356061,-0.62890625,0.0517578125
tianyan-287__qaoa_0335,qaoa,1024,1024,1024,True,True,0.9404292786412244,0.8693677617478245,0.755800305166422,0.10609313020719069,0.10076272479065315,0.010153126707236908,0.9404296875,0.8694421761266916,0.7559296976279171,0.275390625,0.24397840486276437,0.05952546203937896,0.9833980286412244,0.9333014274356694,0.871051554453458,0.23596276195792074,0.20999592914809134,0.0440982902587702,4.0885877559902496e-07,0.0004521387051425474,2.0442940868797944e-07,0.9409400439914064,0.8699714994385448,0.75685040983535,-0.8343361484340337,0.9404288697824488,-0.7080074036412244,0.271484375,1.0,0.9999999999999999,0.3232168502481198,0.3203125,-0.6796874999999999,-0.0029043502481198025,-0.6796875,0.048828125
tianyan-287__qaoa_0336,qaoa,1024,1024,1024,True,True,0.9501937135661246,0.8812555695767403,0.7766113789100251,0.08942714253715038,0.08020875440648866,0.0064334442834404135,0.9501953125,0.8813798055367708,0.7768303616080359,0.224609375,0.20284014868701206,0.041144125919369154,0.9804671510661247,0.9273757481418125,0.8600257782415864,0.2141896388981156,0.1916757963705329,0.03673961091427799,1.5989338753507125e-06,0.0008941293291653489,7.994672572736768e-07,0.9409388992807582,0.8698996672522498,0.7567254310855749,-0.8607665710289742,0.9501921146322493,-0.7558577760661247,0.3017578125,1.0,1.0,0.32321685804733563,0.328125,-0.671875,0.004908141952664369,-0.671875,0.0263671875
tianyan-287__qaoa_0337,qaoa,1024,1024,1024,True,True,0.9306584126341697,0.8580789797066893,0.736299535414473,0.08762241491548162,0.08576089669069983,0.007354931401192891,0.9306640625,0.8583022891663745,0.7366828195882388,0.248046875,0.21841489545737208,0.047705066557654774,0.9794865376341697,0.9253782546584095,0.8563249141946443,0.22798989160603966,0.19454723595441847,0.037848627017504174,5.649865830305404e-06,0.0016807548617491066,2.8249369052932583e-06,0.9409349762204429,0.8697734805418894,0.7565059074539524,-0.8430359977186881,0.9306527627683394,-0.7314396626341697,0.3291015625,1.0,0.9999999999999999,0.3232168608885313,0.3212890625,-0.6787109374999999,-0.0019277983885312988,-0.6787109375,-0.0078125
tianyan-287__qaoa_0338,qaoa,1024,1024,1024,True,True,0.9423827102983696,0.8717225499939241,0.7599002041679095,0.10687581370918227,0.10140187832278479,0.01028234092738885,0.9423828125,0.871759253107821,0.759964195379106,0.2431640625,0.2207045148968544,0.04871048289585582,0.9785155227983696,0.9237782848534983,0.853366319566871,0.22940766815315272,0.20305195185985875,0.041230095154098395,1.0220163037010489e-07,0.00022605489706111284,5.110081648531032e-08,0.9409403400788567,0.8700092526141256,0.7569160996341895,-0.8355068965891873,0.9423826080967392,-0.7353514602983696,0.3388671875,1.0,1.0,0.323216849912335,0.3017578125,-0.6982421875,-0.021459037412335014,-0.6982421875,-0.037109375
tianyan-287__qaoa_0339,qaoa,1024,1024,1024,True,True,0.938476559923561,0.867151844399083,0.7519523212447314,0.0842341279870867,0.08663205116681598,0.007505112289369821,0.9384765625,0.8671567416492214,0.7519608145876946,0.224609375,0.20733981365992857,0.042989798328533904,0.977539059923561,0.9220204811680733,0.8501217676934054,0.20971193924352166,0.18700919760701712,0.03497243998962038,2.576438885103715e-09,3.589177434883357e-05,1.2882194659075872e-09,0.940940434519268,0.8700391496238632,0.7569681218782149,-0.8542424319364743,0.9384765573471222,-0.752929684923561,0.2919921875,1.0,1.0,0.32321684959715247,0.3408203125,-0.6591796875,0.017603462902847533,-0.6591796875,0.048828125
tianyan-287__qaoa_0340,qaoa,1024,1024,1024,True,True,0.7416480801726856,0.7274826446096457,0.529230998208244,0.11461500719531822,0.09928597683907643,0.009857705196889622,0.7373046875,0.723964286965862,0.524124288801989,0.1708984375,0.14847084175716962,0.022043590852082504,0.7632623135555973,0.7486632186481356,0.560496614956586,0.12240811305239682,0.1044649352266976,0.010912922691918125,0.039810764159776905,0.04181725258240537,0.001748682613540689,0.7529141883427353,0.7371512629409479,0.5433919844554345,-0.6270330729773673,0.7018373160129087,-0.5923638760555973,0.3095703125,1.0,1.0,0.3155496819182192,0.34375,-0.65625,0.028200318081780806,-0.65625,0.0341796875
tianyan-287__qaoa_0341,qaoa,1024,1024,1024,True,True,0.8129217368573524,0.7644024363035028,0.5843110846267306,0.07663951304611764,0.06658130726315893,0.00443307047687118,0.81640625,0.770589214982053,0.5938077382466567,0.1015625,0.0899962974607499,0.008099333556643778,0.8197576743573524,0.7744333019122082,0.5997469391106454,0.09776538370619092,0.08819654447397324,0.00777863045714954,0.041801515746075116,0.0549699463553463,0.00302169500230965,0.799413498075976,0.7545795775218807,0.5693903388130999,-0.7362822238112348,0.7711202211112772,-0.7181951743573524,0.2978515625,1.0,1.0,0.31572132796911423,0.30078125,-0.69921875,-0.01494007796911423,-0.69921875,0.0029296875
tianyan-287__qaoa_0342,qaoa,1024,1024,1024,True,True,0.9661209330431344,0.9004787594117647,0.8108619961517508,0.08239351099039888,0.07920088655940463,0.006272780431795681,0.9658203125,0.9016589908516871,0.8129889357836828,0.138671875,0.12845216640487234,0.01649995905410501,0.9797928080431344,0.9239698732891917,0.8537203267460449,0.11506696025349447,0.103845640776218,0.01078391710822331,0.0009129207810920977,0.024020080853779158,0.000576964284222088,0.9680811139679173,0.9037580943437667,0.8167786930918768,-0.8837274220527356,0.9652080122620423,-0.8411209330431344,0.3125,1.0,0.9999999999999999,0.31596485548227693,0.33984375,-0.6601562499999999,0.02387889451772307,-0.66015625,0.02734375
