circuit_id,family,compiled_gate_count,compiled_two_qubit_count,compiled_depth,hardware_vs_ideal_tv,hardware_vs_ideal_h2,finite_vs_ideal_tv,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_h2,hardware_noise_minus_ideal_tv,hardware_excess_over_finite_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3
tianyan-287__qaoa_0080,qaoa,807,198,458,0.980460565259131,0.8597321755137299,8.184740869165726e-06,4.0923788083648884e-06,0.9409325651865974,0.7564576704340471,0.21641793289460862,0.03902738307445024,-0.7640426323645223,0.9804523805182618,0.3017578125,1.0,1.0,0.3232168896874406
tianyan-287__qaoa_0081,qaoa,807,198,458,0.980468554436212,0.8601633729638767,1.9556378798183656e-07,9.778189879179218e-08,0.9409402478434117,0.756889884033753,0.23460106148367346,0.041567856397196214,-0.7458674929525385,0.980468358872424,0.2998046875,1.0,1.0,0.3232168501679318
tianyan-287__qaoa_0082,qaoa,807,198,458,0.9775350939550588,0.8497757117848417,3.968544941126349e-06,1.9842744392423263e-06,0.9409366315074141,0.7566057784814747,0.20714402388146477,0.03471703723594914,-0.770391070073594,0.9775311254101177,0.3154296875,1.0,1.0,0.3232168565527827
tianyan-287__qaoa_0083,qaoa,807,198,458,0.9814450328904485,0.8636866379844166,2.7960955153166777e-07,1.3980478554820966e-07,0.9409401669340876,0.7568727531335584,0.22627121113963256,0.03674046737032418,-0.7551738217508159,0.981444753280897,0.314453125,1.0,1.0,0.32321685019164303
tianyan-287__qaoa_0084,qaoa,807,198,458,0.9833984350359759,0.8711429318045658,2.464023967780201e-09,1.2320119761143971e-09,0.940940434635642,0.7569683362780915,0.20770219633858772,0.03827852162896504,-0.7756962386973882,0.9833984325719519,0.32421875,1.0,1.0,0.32321684960492675
tianyan-287__qaoa_0085,qaoa,1182,288,704,0.8820006164803582,0.7163717583272565,0.01680040963668014,0.002168340747092966,0.8564580097200283,0.667814950383602,0.10655715158765686,0.009148914599129757,-0.7754434648927013,0.865200206843678,0.2822265625,1.0,1.0,0.3157641380357289
tianyan-287__qaoa_0086,qaoa,1182,288,704,0.8910077627072689,0.7212162027102684,0.020619658939558954,0.0017340190683431942,0.8531097959190919,0.6619141753917899,0.14039027254662279,0.015658793826648955,-0.7506174901606462,0.8703881037677099,0.2841796875,1.0,1.0000000000000002,0.3159189716725611
tianyan-287__qaoa_0087,qaoa,1182,288,704,0.8181560112482831,0.6187048461978346,0.029820118757241096,0.0024089395103874794,0.7817944430035889,0.5678577902431597,0.12912765744016902,0.013446310684879573,-0.6890283538081141,0.788335892491042,0.2978515625,1.0,0.9999999999999999,0.3153384371793645
tianyan-287__qaoa_0088,qaoa,1182,288,704,0.9632790206015951,0.8307417812204553,0.0023392202158060192,0.0011024635961203557,0.9453367714993182,0.7755300805271839,0.1387609522178655,0.014403289413716026,-0.8245180683837297,0.9609398003857891,0.3076171875,1.0,0.9999999999999999,0.3146910626871255
tianyan-287__qaoa_0089,qaoa,1182,288,704,0.9838180885873289,0.8699474244380697,0.0005602396204995336,0.00012913424429162782,0.9688315224365406,0.8198537415114565,0.1540137406311845,0.01912139116499717,-0.8298043479561443,0.9832578489668293,0.3056640625,1.0,0.9999999999999999,0.3146119931443024
